headline,date,doc_type,material_type,section,keywords
Mayor de Blasio Pleads Ignorance in Lawsuit Over Housing Policy,2018-07-24,article,News,,"['Suits and Litigation (Civil)', 'Real Estate and Housing (Residential)', 'Affordable Housing', 'Segregation and Desegregation', 'Discrimination']"
"Montana Governor Sues I.R.S., Warning of ‘Foreign Money’ in Elections",2018-07-24,article,News,,"['United States Politics and Government', 'Politics and Government', 'Campaign Finance']"
9 Recent Netflix Original Series That Are Worth Your Time,2018-07-24,article,News,,['Television']
Ditching Jerome Robbins’s Dances in New ‘West Side Story’,2018-07-24,article,Letter,,[]
"Ebola Outbreak in Congo Has Ended, W.H.O. Says",2018-07-24,article,News,,"['Ebola Virus', 'Epidemics', 'Vaccination and Immunization']"
How E.U.’s Google Fine Explains High Cellphone Costs in the U.S. ,2018-07-24,article,Op-Ed,,"['Antitrust Laws and Competition Issues', 'Fines (Penalties)', 'Android (Operating System)', 'Smartphones', 'Windows (Operating System)', 'Lobbying and Lobbyists', 'Search Engines']"
Review: ‘93Queen’ Follows Female Jewish EMS Workers in Brooklyn,2018-07-24,article,Review,,"['Documentary Films and Programs', 'Jews and Judaism', 'Women and Girls']"
Silencing Trump’s Critics,2018-07-24,article,Letter,,['United States Politics and Government']
Why Progressives Should Embrace the Genetics of Education,2018-07-24,article,Op-Ed,,"['Genetics and Heredity', 'Research', 'Statistics']"
When First Love Is as Lethal as Religious Extremism,2018-07-24,article,Review,,['Books and Literature']
Donald Trump’s Relentless Tribe,2018-07-24,article,Op-Ed,,"['Polls and Public Opinion', 'United States Politics and Government']"
"Officer’s Bullet Killed Trader Joe’s Employee in Los Angeles Standoff, Police Say",2018-07-24,article,News,,"['Murders, Attempted Murders and Homicides', 'Kidnapping and Hostages', 'Police Brutality, Misconduct and Shootings']"
Alabama Coal Executive and Lawyer Are Guilty of Bribing Politician Over Pollution Cleanup,2018-07-24,article,News,,"['Superfund', 'Extortion and Blackmail', 'Coal']"
"Beauty, Bad Temper and Scandal in a Riveting Look at Princess Margaret",2018-07-24,article,Review,,['Books and Literature']
Entrepreneurs to Wed,2018-07-24,article,News,,['Weddings and Engagements']
"Lincoln Brower, Champion of the Monarch Butterfly, Dies at 86",2018-07-24,article,Obituary (Obit),,"['Deaths (Obituaries)', 'Butterflies and Moths', 'Research', 'Science and Technology']"
